time,open,high,low,close,tick_volume,spread,real_volume
2022-08-01 00:00:00,1.21675,1.21881,1.21625,1.2173,3294,8,0
2022-08-01 01:00:00,1.21729,1.21959,1.21679,1.21877,3900,8,0
2022-08-01 02:00:00,1.21879,1.21977,1.21832,1.21958,1858,8,0
2022-08-01 03:00:00,1.2196,1.21971,1.21791,1.2182,1684,8,0
2022-08-01 04:00:00,1.21818,1.21879,1.21766,1.2181899999999999,1257,8,0
2022-08-01 05:00:00,1.21821,1.21857,1.21739,1.21794,1585,8,0
2022-08-01 06:00:00,1.21791,1.21999,1.2175,1.21928,3536,8,0
2022-08-01 07:00:00,1.2193,1.2205300000000001,1.21838,1.21966,4743,8,0
2022-08-01 08:00:00,1.21964,1.22303,1.21945,1.22302,4182,8,0
2022-08-01 09:00:00,1.22303,1.22589,1.22267,1.22452,3877,8,0
2022-08-01 10:00:00,1.2245,1.2260900000000001,1.22389,1.22425,3378,8,0
2022-08-01 11:00:00,1.22426,1.22493,1.22181,1.22257,4543,8,0
2022-08-01 12:00:00,1.22258,1.22489,1.2219,1.22472,4651,8,0
2022-08-01 13:00:00,1.22474,1.22728,1.22348,1.2260900000000001,7752,8,0
2022-08-01 14:00:00,1.22607,1.22931,1.22469,1.22815,11508,8,0
2022-08-01 15:00:00,1.22817,1.2282899999999999,1.22626,1.22749,4838,8,0
2022-08-01 16:00:00,1.22752,1.22839,1.22717,1.22767,2920,8,0
2022-08-01 17:00:00,1.22764,1.22769,1.2247,1.22579,2660,8,0
2022-08-01 18:00:00,1.22576,1.22611,1.22409,1.22533,2802,8,0
2022-08-01 19:00:00,1.2253,1.22586,1.22469,1.22557,2384,8,0
2022-08-01 20:00:00,1.22554,1.22569,1.22494,1.22494,496,8,0
2022-08-01 21:00:00,1.2248999999999999,1.22505,1.22434,1.22469,97,59,0
2022-08-01 22:00:00,1.22502,1.22591,1.22484,1.22574,582,12,0
2022-08-01 23:00:00,1.22572,1.22598,1.22504,1.22566,977,12,0
2022-08-02 00:00:00,1.22568,1.22787,1.22448,1.22695,4332,8,0
2022-08-02 01:00:00,1.22692,1.22763,1.22544,1.2257,4621,8,0
2022-08-02 02:00:00,1.22569,1.22611,1.2251,1.22586,2871,8,0
2022-08-02 03:00:00,1.2258499999999999,1.22639,1.22483,1.22572,2580,8,0
2022-08-02 04:00:00,1.22573,1.22623,1.2244,1.22486,2963,8,0
2022-08-02 05:00:00,1.22483,1.22554,1.22389,1.22441,3073,8,0
2022-08-02 06:00:00,1.2244,1.2244,1.22187,1.22206,4794,8,0
2022-08-02 07:00:00,1.22205,1.22223,1.21887,1.22014,7062,8,0
2022-08-02 08:00:00,1.22013,1.22056,1.21855,1.21911,5682,8,0
2022-08-02 09:00:00,1.21909,1.22207,1.21905,1.22179,4365,8,0
2022-08-02 10:00:00,1.22177,1.22186,1.22004,1.22034,2877,8,0
2022-08-02 11:00:00,1.22032,1.22273,1.21997,1.22168,3653,8,0
2022-08-02 12:00:00,1.22167,1.22239,1.2205300000000001,1.22207,5273,8,0
2022-08-02 13:00:00,1.22208,1.22406,1.22017,1.22116,8937,8,0
2022-08-02 14:00:00,1.22115,1.2224599999999999,1.21798,1.22177,10674,8,0
2022-08-02 15:00:00,1.22174,1.2233100000000001,1.22045,1.22191,6465,8,0
2022-08-02 16:00:00,1.22193,1.22251,1.22108,1.22139,4197,8,0
2022-08-02 17:00:00,1.22137,1.22138,1.21755,1.21905,3941,8,0
2022-08-02 18:00:00,1.21906,1.21936,1.21664,1.21681,3706,8,0
2022-08-02 19:00:00,1.21684,1.21792,1.21662,1.21671,2687,8,0
2022-08-02 20:00:00,1.21673,1.21694,1.21582,1.2161,606,8,0
2022-08-02 21:00:00,1.2159,1.2164,1.21527,1.2155,583,86,0
2022-08-02 22:00:00,1.21583,1.21717,1.21546,1.21585,720,31,0
2022-08-02 23:00:00,1.21587,1.21627,1.21395,1.2142,1086,31,0
2022-08-03 00:00:00,1.21425,1.21546,1.21344,1.21465,3002,8,0
2022-08-03 01:00:00,1.21467,1.21628,1.21454,1.21612,3185,8,0
2022-08-03 02:00:00,1.21615,1.21752,1.21599,1.21744,2692,8,0
2022-08-03 03:00:00,1.21746,1.21884,1.21713,1.21864,2625,8,0
2022-08-03 04:00:00,1.21863,1.21936,1.21739,1.21796,2537,8,0
2022-08-03 05:00:00,1.21795,1.21812,1.21655,1.21682,2305,8,0
2022-08-03 06:00:00,1.21683,1.218,1.21568,1.21677,4621,8,0
2022-08-03 07:00:00,1.21677,1.22028,1.21655,1.21901,6780,8,0
2022-08-03 08:00:00,1.21899,1.22073,1.21715,1.21776,4954,8,0
2022-08-03 09:00:00,1.21779,1.2192,1.21664,1.21706,3901,8,0
2022-08-03 10:00:00,1.2171,1.21935,1.21704,1.21815,4663,8,0
2022-08-03 11:00:00,1.21813,1.2205300000000001,1.21798,1.21898,4835,8,0
2022-08-03 12:00:00,1.21896,1.21959,1.21683,1.21746,5227,8,0
2022-08-03 13:00:00,1.21743,1.21796,1.21463,1.21476,5887,8,0
2022-08-03 14:00:00,1.21481,1.21481,1.21038,1.21085,13395,8,0
2022-08-03 15:00:00,1.21088,1.21311,1.20997,1.21309,5960,8,0
2022-08-03 16:00:00,1.21311,1.21519,1.21239,1.21423,4377,8,0
2022-08-03 17:00:00,1.21424,1.2151,1.21376,1.21477,2376,8,0
2022-08-03 18:00:00,1.2147999999999999,1.2155,1.21395,1.21445,2546,8,0
2022-08-03 19:00:00,1.21449,1.21544,1.21372,1.21458,2742,8,0
2022-08-03 20:00:00,1.21459,1.2150400000000001,1.21426,1.2145,692,8,0
2022-08-03 21:00:00,1.21404,1.21415,1.21286,1.21402,252,90,0
2022-08-03 22:00:00,1.21423,1.21464,1.21373,1.21402,545,12,0
2022-08-03 23:00:00,1.21399,1.21418,1.21364,1.21374,574,12,0
2022-08-04 00:00:00,1.21376,1.21599,1.21366,1.21588,2540,8,0
2022-08-04 01:00:00,1.21585,1.21677,1.21494,1.215,2595,8,0
2022-08-04 02:00:00,1.21503,1.21558,1.21439,1.21498,1722,8,0
2022-08-04 03:00:00,1.21498,1.21577,1.2147000000000001,1.21503,1202,8,0
2022-08-04 04:00:00,1.215,1.21593,1.215,1.21554,1057,8,0
2022-08-04 05:00:00,1.21553,1.216,1.21444,1.2145,1768,8,0
2022-08-04 06:00:00,1.21447,1.21529,1.21282,1.21474,4073,8,0
2022-08-04 07:00:00,1.21476,1.21755,1.21411,1.2166,5029,8,0
2022-08-04 08:00:00,1.21658,1.21721,1.21459,1.21646,4098,8,0
2022-08-04 09:00:00,1.21646,1.21802,1.21616,1.21792,3386,8,0
2022-08-04 10:00:00,1.21794,1.21956,1.21772,1.21813,3476,8,0
2022-08-04 11:00:00,1.21811,1.2217,1.2065,1.20855,17154,8,0
2022-08-04 12:00:00,1.20852,1.21196,1.20716,1.21123,8746,8,0
2022-08-04 13:00:00,1.21124,1.21188,1.20896,1.21052,8384,8,0
2022-08-04 14:00:00,1.21055,1.21219,1.20952,1.21095,8794,8,0
2022-08-04 15:00:00,1.21094,1.21436,1.21058,1.21397,5341,8,0
2022-08-04 16:00:00,1.21396,1.21608,1.21363,1.21456,4010,8,0
2022-08-04 17:00:00,1.21455,1.21615,1.21441,1.21599,2444,8,0
2022-08-04 18:00:00,1.21597,1.21754,1.21583,1.21747,2363,8,0
2022-08-04 19:00:00,1.21747,1.21753,1.21666,1.21684,2198,8,0
2022-08-04 20:00:00,1.21686,1.21703,1.21555,1.21576,658,8,0
2022-08-04 21:00:00,1.21572,1.21574,1.21494,1.21544,244,59,0
2022-08-04 22:00:00,1.21555,1.21586,1.21549,1.21578,2490,12,0
2022-08-04 23:00:00,1.21577,1.21631,1.21545,1.21578,726,12,0
2022-08-05 00:00:00,1.2158,1.21582,1.2134,1.21377,2129,8,0
2022-08-05 01:00:00,1.21377,1.21435,1.21298,1.21404,2132,8,0
2022-08-05 02:00:00,1.21405,1.21461,1.21374,1.21387,1686,8,0
2022-08-05 03:00:00,1.21386,1.21463,1.21371,1.21431,1148,8,0
